"generation number","population size","worst","best","median","average","standard deviation","run"
"1","150","0.0","0.930002205606","0.0","0.11439858237","0.230026294987","0"
"2","150","0.0","0.930002205606","0.0","0.150719460603","0.258285780458","0"
"3","150","0.0","0.944511344895","0.0","0.184600981041","0.276836522124","0"
"4","150","0.0","0.944511344895","0.0","0.185914702616","0.275997155401","0"
"5","150","0.0","0.944511344895","0.0","0.173638370197","0.271932377095","0"
"6","150","0.0","0.944511344895","0.0","0.171022810498","0.282744450171","0"
"7","150","0.0","0.947556286792","0.0","0.185123370042","0.290498514669","0"
"8","150","0.0","0.947556286792","0.0","0.185646362291","0.291618211863","0"
"9","150","0.0","0.947556286792","0.0","0.191916576509","0.279268208514","0"
"10","150","0.0","0.947556286792","0.0","0.203666951629","0.284062488793","0"
"11","150","0.0","0.947556286792","0.0","0.215622421851","0.292544972517","0"
"12","150","0.0","0.947556286792","0.000547612044167","0.237852564502","0.295194237998","0"
"13","150","0.0","0.947556286792","0.0","0.205102997374","0.278169111016","0"
"14","150","0.0","0.947556286792","0.0","0.208331319671","0.27571694079","0"
"15","150","0.0","0.947556286792","0.0","0.22657811383","0.306796880158","0"
"16","150","0.0","0.947556286792","0.0354787579791","0.261469630773","0.316207625136","0"
"17","150","0.0","0.947556286792","0.0","0.223588758428","0.299669890337","0"
"18","150","0.0","0.947556286792","0.0","0.106287337333","0.228735083037","0"
"19","150","0.0","0.947556286792","0.0","0.146480772608","0.252934684421","0"
"20","150","0.0","0.947556286792","0.0","0.16959490815","0.271994088412","0"
"21","150","0.0","0.947556286792","0.0","0.188247547034","0.27725075558","0"
"22","150","0.0","0.947556286792","0.0","0.0929604937266","0.21018239888","0"
"23","150","0.0","0.947556286792","0.0","0.132570326675","0.257949896889","0"
"24","150","0.0","0.947556286792","0.0","0.164368878254","0.287093592403","0"
"25","150","0.0","0.947556286792","0.0","0.201040071833","0.309818542125","0"
"26","150","0.0","0.947556286792","0.0","0.113294248023","0.238645875945","0"
"27","150","0.0","0.947556286792","0.0","0.169145730494","0.2901166984","0"
"28","150","0.0","0.947556286792","0.0","0.164211716606","0.28517050999","0"
"29","150","0.0","0.947556286792","0.0","0.159122881052","0.265492735876","0"
"30","150","0.0","0.947556286792","0.0","0.101908343771","0.223314600204","0"
"31","150","0.0","0.947556286792","0.0","0.145826547325","0.273881497829","0"
"32","150","0.0","0.947556286792","0.0","0.165992447659","0.28168077415","0"
"33","150","0.0","0.95773412724","0.0","0.182555619381","0.28989402","0"
"34","150","0.0","0.95773412724","0.0","0.207157031078","0.301034786627","0"
"35","150","0.0","0.95773412724","0.0","0.256327112222","0.317115848546","0"
"36","150","0.0","0.95773412724","3.14559706508e-06","0.279312044583","0.327917972128","0"
"37","150","0.0","0.95773412724","0.0","0.251456615291","0.327955930527","0"
"38","150","0.0","0.95773412724","6.10633060234e-06","0.239668099698","0.309053597324","0"
"39","150","0.0","0.95773412724","0.003727813971","0.266376399195","0.314563201379","0"
"40","150","0.0","0.95773412724","0.000239071029019","0.262919438899","0.320850633984","0"
"41","150","0.0","0.95773412724","0.0","0.228901043295","0.302608987452","0"
"42","150","0.0","0.95773412724","0.0","0.231422304665","0.301015672383","0"
"43","150","0.0","0.95773412724","0.0","0.228074049676","0.303024772327","0"
"44","150","0.0","0.95773412724","0.0","0.111612965296","0.232506581222","0"
"45","150","0.0","0.9585196405","0.0","0.156267051962","0.266776320018","0"
"46","150","0.0","0.9585196405","0.0","0.197056202986","0.288494247036","0"
"47","150","0.0","0.9585196405","0.0","0.222354216437","0.291354912711","0"
"48","150","0.0","0.9585196405","0.0","0.242884281942","0.317201948546","0"
"49","150","0.0","0.9585196405","0.0","0.257655037071","0.319380602238","0"
"50","150","0.0","0.9585196405","0.0","0.241776800655","0.328441579852","0"
"51","150","0.0","0.9585196405","0.0","0.236628157903","0.316743820121","0"
"52","150","0.0","0.9585196405","0.0","0.245316681699","0.319668429241","0"
"53","150","0.0","0.9585196405","0.0087433368823","0.250779760195","0.300841373921","0"
"54","150","0.0","0.9585196405","0.180179313483","0.273438014505","0.306208043998","0"
"55","150","0.0","0.9585196405","0.0","0.216825250137","0.291369805035","0"
"56","150","0.0","0.9585196405","0.0","0.104416139374","0.218528223123","0"
"57","150","0.0","0.9585196405","0.0","0.15235350585","0.265266866182","0"
"58","150","0.0","0.9585196405","0.0","0.165447190153","0.285811014423","0"
"59","150","0.0","0.9585196405","0.0","0.177347768893","0.287737309722","0"
"60","150","0.0","0.9585196405","0.0","0.130250361251","0.240679945148","0"
"61","150","0.0","0.9585196405","0.0","0.200848898361","0.290913410592","0"
"62","150","0.0","0.9585196405","0.0","0.222793457802","0.305482264019","0"
"63","150","0.0","0.9585196405","0.0","0.232665529967","0.316195571039","0"
"64","150","0.0","0.9585196405","0.0","0.0883435539578","0.218960917964","0"
"65","150","0.0","0.9585196405","0.0","0.130780262317","0.25666361278","0"
"66","150","0.0","0.9585196405","0.0","0.142241388328","0.266463066065","0"
"67","150","0.0","0.9585196405","0.0","0.174295423612","0.293600985116","0"
"68","150","0.0","0.9585196405","0.0","0.118856279138","0.247454367252","0"
"69","150","0.0","0.9585196405","0.0","0.149482761213","0.271610717787","0"
"70","150","0.0","0.9585196405","0.0","0.174492022182","0.264148476227","0"
"71","150","0.0","0.9585196405","0.0","0.235871509804","0.310857802869","0"
"72","150","0.0","0.9585196405","0.0","0.127314640985","0.253213619552","0"
"73","150","0.0","0.9585196405","0.0","0.183946658654","0.289266412269","0"
"74","150","0.0","0.9585196405","0.0","0.22557406674","0.311292663397","0"
"75","150","0.0","0.9585196405","0.0","0.229169082525","0.307930733075","0"
"76","150","0.0","0.9585196405","0.0","0.120947537287","0.248653236145","0"
"77","150","0.0","0.9585196405","0.0","0.159065652959","0.273991051966","0"
"78","150","0.0","0.9585196405","0.0","0.184462803329","0.276740497101","0"
"79","150","0.0","0.9585196405","0.0","0.224718742765","0.30789016134","0"
"80","150","0.0","0.9585196405","0.0","0.118068366476","0.245430511197","0"
"81","150","0.0","0.9585196405","0.0","0.151622728045","0.260781042126","0"
"82","150","0.0","0.9585196405","0.0","0.103604819546","0.232552241828","0"
"83","150","0.0","0.9585196405","0.0","0.138374639845","0.252202747771","0"
"84","150","0.0","0.9585196405","0.0","0.117425862012","0.240827596085","0"
"85","150","0.0","0.9585196405","0.0","0.145836658063","0.254860414886","0"
"86","150","0.0","0.9585196405","0.0","0.173968635782","0.29352854445","0"
"87","150","0.0","0.9585196405","0.0","0.199520386254","0.300851604008","0"
"88","150","0.0","0.9585196405","0.0","0.101249711157","0.228381050856","0"
"89","150","0.0","0.9585196405","0.0","0.143488378756","0.267101737279","0"
"90","150","0.0","0.9585196405","0.0","0.11632246729","0.236105409265","0"
"91","150","0.0","0.9585196405","0.0","0.133254452497","0.244226670255","0"
"92","150","0.0","0.9585196405","0.0","0.107177230154","0.236803615662","0"
"93","150","0.0","0.9585196405","0.0","0.110655054807","0.234491889223","0"
"94","150","0.0","0.9585196405","0.0","0.130479058638","0.246046439755","0"
"95","150","0.0","0.9585196405","0.0","0.161451059764","0.26729899904","0"
